Movie Name,Cinema,Showtime,Available Seats,Sold Seats,Total Seats
逆向誘拐,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 05:35PM,124,5,129
潛艦滅殺令,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 07:25PM,117,12,129
八級大地震 命懸一劫,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 11:15AM,113,6,119
無雙,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 01:15PM,113,6,119
非同凡響,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 03:40PM,111,8,119
星夢情深,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 05:30PM,107,12,119
緣來靠八哥？,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 08:00PM,105,14,119
大君主之役(III版本),MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 09:50PM,105,14,119
緣來靠八哥？,MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 11:30AM,147,10,157
2D 毒魔(全景聲),MOViE MOViE Cityplaza,Nov 09 2018 (Fri) 01:20PM,150,7,157
大君主之役(III版本),PALACE ifc,Nov 09 2018 (Fri) 01:10PM,98,0,98
我的破嗝Miss,PALACE ifc,Nov 09 2018 (Fri) 03:15PM,98,0,98
大君主之役(III版本),PALACE ifc,Nov 09 2018 (Fri) 05:25PM,89,9,98
我的破嗝Miss,PALACE ifc,Nov 09 2018 (Fri) 07:30PM,89,9,98
星夢情深,PALACE ifc,Nov 09 2018 (Fri) 09:45PM,73,25,98
波希米亞狂想曲：搖滾傳說,PALACE ifc,Nov 09 2018 (Fri) 11:40AM,185,0,185
波希米亞狂想曲：搖滾傳說,PALACE ifc,Nov 09 2018 (Fri) 02:10PM,185,0,185
波希米亞狂想曲：搖滾傳說,PALACE ifc,Nov 09 2018 (Fri) 04:40PM,183,2,185
波希米亞狂想曲：搖滾傳說,PALACE ifc,Nov 09 2018 (Fri) 07:15PM,111,74,185
波希米亞狂想曲：搖滾傳說,PALACE ifc,Nov 09 2018 (Fri) 09:50PM,151,34,185
大君主之役(IIB 版本),數碼港,Nov 09 2018 (Fri) 05:15PM,283,48,331
波希米亞狂想曲：搖滾傳說,數碼港,Nov 09 2018 (Fri) 07:20PM,277,54,331
波希米亞狂想曲：搖滾傳說,數碼港,Nov 09 2018 (Fri) 09:50PM,277,54,331
潛艦滅殺令,數碼港,Nov 09 2018 (Fri) 10:55AM,220,0,220
波希米亞狂想曲：搖滾傳說,數碼港,Nov 09 2018 (Fri) 01:10PM,220,0,220
書中自有魔怪谷2︰翻生萬聖節,數碼港,Nov 09 2018 (Fri) 03:40PM,220,0,220
波希米亞狂想曲：搖滾傳說,數碼港,Nov 09 2018 (Fri) 05:25PM,216,4,220
潛艦滅殺令,數碼港,Nov 09 2018 (Fri) 07:55PM,216,4,220
大君主之役(III版本),數碼港,Nov 09 2018 (Fri) 10:10PM,216,4,220
我的破嗝Miss,數碼港,Nov 09 2018 (Fri) 10:50AM,176,0,176
緊急救命劇場版,荷里活,Nov 09 2018 (Fri) 05:25PM,234,12,246
波希米亞狂想曲：搖滾傳說,荷里活,Nov 09 2018 (Fri) 07:45PM,224,22,246
逆向誘拐,荷里活,Nov 09 2018 (Fri) 10:10PM,234,12,246
