Movie Name,Cinema,Showtime,Available Seats,Sold Seats,Total Seats
逆向誘拐,荷里活,Nov 20 2018 (Tue) 11:20AM,186,41,227
潛艦滅殺令,荷里活,Nov 20 2018 (Tue) 03:00PM,191,36,227
波希米亞狂想曲：搖滾傳說,荷里活,Nov 20 2018 (Tue) 05:15PM,194,33,227
屍殺片場,荷里活,Nov 20 2018 (Tue) 07:45PM,178,49,227
我的破嗝Miss,荷里活,Nov 20 2018 (Tue) 11:05AM,157,70,227
星夢情深,荷里活,Nov 20 2018 (Tue) 03:20PM,195,32,227
大君主之役(III版本),荷里活,Nov 20 2018 (Tue) 05:50PM,180,47,227
波希米亞狂想曲：搖滾傳說,荷里活,Nov 20 2018 (Tue) 07:55PM,191,36,227
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 11:00AM,149,97,246
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 06:30PM,200,46,246
波希米亞狂想曲：搖滾傳說,荷里活,Nov 20 2018 (Tue) 11:10AM,176,51,227
我的破嗝Miss,荷里活,Nov 20 2018 (Tue) 03:30PM,192,35,227
我的破嗝Miss,荷里活,Nov 20 2018 (Tue) 07:30PM,183,44,227
冰封俠：時空行者,荷里活,Nov 20 2018 (Tue) 11:35AM,295,57,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 03:00PM,317,35,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 05:25PM,321,31,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 07:50PM,268,84,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 11:40AM,301,51,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 02:10PM,313,39,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 04:40PM,311,41,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 20 2018 (Tue) 07:10PM,288,64,352
2D 怪獸與葛林戴華德之罪,荷里活,Nov 21 2018 (Wed) 11:00AM,215,31,246
2D 怪獸與葛林戴華德之罪,The ONE,Nov 20 2018 (Tue) 04:40PM,124,43,167
2D 怪獸與葛林戴華德之罪,The ONE,Nov 20 2018 (Tue) 07:10PM,124,41,167
2D 怪獸與葛林戴華德之罪,The ONE,Nov 20 2018 (Tue) 07:25PM,72,43,115
